account_id,customer_id,branch_id,account_type,currency,opening_balance,current_balance,interest_rate,account_status,opened_date
ACC000001,CUST000013,BR002,Savings,INR,371033.7,406745.85,3.5,Active,2020-07-25
ACC000002,CUST000217,BR009,Savings,INR,16859.56,0.0,3.5,Active,2021-08-10
ACC000003,CUST000360,BR001,Current,INR,272925.8,300080.02,0.0,Active,2022-02-13
ACC000004,CUST000143,BR002,Savings,INR,78584.27,363608.85,3.5,Active,2022-10-10
ACC000005,CUST000310,BR009,Current,INR,132995.91,98203.57,0.0,Dormant,2024-02-25
ACC000006,CUST000151,BR010,Savings,INR,414872.93,581354.84,3.5,Active,2023-01-21
ACC000007,CUST000396,BR002,Savings,INR,145404.59,123331.78,3.5,Active,2021-08-11
ACC000008,CUST000084,BR002,Current,INR,185720.3,209047.76,0.0,Active,2021-12-29
ACC000009,CUST000084,BR006,Current,INR,231667.85,276149.59,0.0,Active,2021-06-18
ACC000010,CUST000017,BR004,Savings,INR,402717.85,493125.53,3.5,Active,2019-09-29
ACC000011,CUST000109,BR003,Current,INR,328063.89,416535.06,0.0,Active,2024-02-23
ACC000012,CUST000135,BR006,Savings,INR,373759.89,473711.73,3.5,Closed,2023-06-24
ACC000013,CUST000047,BR003,Savings,INR,378135.3,629521.32,3.5,Active,2020-09-18
ACC000014,CUST000196,BR009,Savings,INR,298348.33,412165.79,3.5,Active,2021-10-26
ACC000015,CUST000350,BR002,Current,INR,442509.44,655316.67,0.0,Active,2022-10-25
ACC000016,CUST000370,BR003,Savings,INR,438050.62,480236.79,3.5,Active,2024-08-12
ACC000017,CUST000431,BR006,Savings,INR,319835.8,482975.37,3.5,Active,2020-09-18
ACC000018,CUST000272,BR001,Current,INR,459328.25,618958.85,0.0,Active,2024-06-24
ACC000019,CUST000414,BR002,NRE,INR,154449.55,124723.36,4.0,Active,2019-11-19
ACC000020,CUST000273,BR009,NRE,INR,383151.38,378088.39,4.0,Active,2024-04-30
ACC000021,CUST000494,BR005,Savings,INR,106687.3,245440.93,3.5,Active,2021-04-03
ACC000022,CUST000461,BR002,Savings,INR,259270.34,251621.81,3.5,Active,2021-07-09
ACC000023,CUST000113,BR004,Savings,INR,4588.23,202332.56,3.5,Active,2019-08-30
ACC000024,CUST000264,BR009,Savings,INR,119764.31,303906.53,3.5,Dormant,2021-05-27
ACC000025,CUST000243,BR004,Savings,INR,122255.62,237796.15,3.5,Active,2023-07-26
ACC000026,CUST000211,BR001,Savings,INR,234045.31,439221.86,3.5,Active,2020-02-08
ACC000027,CUST000128,BR007,Salary,INR,96603.45,234303.46,3.0,Active,2020-07-28
ACC000028,CUST000039,BR001,Salary,INR,222122.24,473594.43,3.0,Active,2020-02-06
ACC000029,CUST000048,BR007,Savings,INR,463257.12,710300.63,3.5,Active,2020-11-12
ACC000030,CUST000031,BR005,Savings,INR,83153.92,33908.3,3.5,Active,2023-05-19
ACC000031,CUST000357,BR003,Savings,INR,478701.5,777099.44,3.5,Active,2024-06-16
ACC000032,CUST000377,BR001,Savings,INR,271555.41,483346.86,3.5,Active,2019-08-23
ACC000033,CUST000081,BR002,Salary,INR,29382.91,157122.88,3.0,Active,2021-01-31
ACC000034,CUST000062,BR010,Savings,INR,470856.47,620242.86,3.5,Active,2019-06-12
ACC000035,CUST000162,BR004,Savings,INR,467418.42,488909.14,3.5,Active,2022-07-10
ACC000036,CUST000235,BR001,Savings,INR,158772.42,371924.99,3.5,Closed,2019-10-25
ACC000037,CUST000038,BR006,NRE,INR,269279.57,396339.21,4.0,Active,2020-06-26
ACC000038,CUST000081,BR010,Savings,USD,219654.1,359780.39,3.5,Active,2022-05-24
ACC000039,CUST000342,BR003,Savings,INR,408734.96,463517.52,3.5,Active,2020-02-29
ACC000040,CUST000080,BR004,Current,INR,136901.76,298592.2,0.0,Active,2022-11-05
ACC000041,CUST000129,BR007,Savings,INR,452762.91,698899.21,3.5,Active,2020-01-14
ACC000042,CUST000067,BR009,Savings,INR,318919.58,360603.92,3.5,Active,2023-12-15
ACC000043,CUST000484,BR006,Savings,INR,441670.09,708045.09,3.5,Active,2019-05-28
ACC000044,CUST000158,BR006,Savings,INR,182961.11,459541.91,3.5,Active,2019-06-13
ACC000045,CUST000400,BR004,Savings,INR,280381.88,536531.33,3.5,Closed,2020-09-25
ACC000046,CUST000452,BR007,Current,INR,206734.91,219511.14,0.0,Active,2022-09-22
ACC000047,CUST000137,BR001,Current,INR,80439.72,275887.09,0.0,Active,2023-04-16
ACC000048,CUST000236,BR004,Current,INR,175479.55,412667.28,0.0,Active,2021-07-21
ACC000049,CUST000443,BR009,Savings,INR,35640.96,256305.28,3.5,Closed,2022-12-09
ACC000050,CUST000481,BR003,Savings,INR,14772.67,271736.11,3.5,Closed,2021-12-05
ACC000051,CUST000306,BR007,Savings,INR,217847.32,422838.09,3.5,Active,2022-07-08
ACC000052,CUST000296,BR001,Savings,INR,95849.31,61384.6,3.5,Active,2023-11-22
ACC000053,CUST000482,BR007,Savings,INR,371233.09,555953.07,3.5,Active,2023-01-31
ACC000054,CUST000161,BR009,Savings,INR,332030.35,325649.21,3.5,Active,2022-05-15
