date_key,date,day,day_name,day_of_week,week_of_year,month,month_name,quarter,year,is_weekend,is_month_start,is_month_end,is_quarter_start,is_quarter_end,is_year_start,is_year_end
20240101,2024-01-01,1,Monday,1,1,1,January,Q1,2024,False,True,False,True,False,True,False
20240102,2024-01-02,2,Tuesday,2,1,1,January,Q1,2024,False,False,False,False,False,False,False
20240103,2024-01-03,3,Wednesday,3,1,1,January,Q1,2024,False,False,False,False,False,False,False
20240104,2024-01-04,4,Thursday,4,1,1,January,Q1,2024,False,False,False,False,False,False,False
20240105,2024-01-05,5,Friday,5,1,1,January,Q1,2024,False,False,False,False,False,False,False
20240106,2024-01-06,6,Saturday,6,1,1,January,Q1,2024,True,False,False,False,False,False,False
20240107,2024-01-07,7,Sunday,7,1,1,January,Q1,2024,True,False,False,False,False,False,False
20240108,2024-01-08,8,Monday,1,2,1,January,Q1,2024,False,False,False,False,False,False,False
20240109,2024-01-09,9,Tuesday,2,2,1,January,Q1,2024,False,False,False,False,False,False,False
20240110,2024-01-10,10,Wednesday,3,2,1,January,Q1,2024,False,False,False,False,False,False,False
20240111,2024-01-11,11,Thursday,4,2,1,January,Q1,2024,False,False,False,False,False,False,False
20240112,2024-01-12,12,Friday,5,2,1,January,Q1,2024,False,False,False,False,False,False,False
20240113,2024-01-13,13,Saturday,6,2,1,January,Q1,2024,True,False,False,False,False,False,False
20240114,2024-01-14,14,Sunday,7,2,1,January,Q1,2024,True,False,False,False,False,False,False
20240115,2024-01-15,15,Monday,1,3,1,January,Q1,2024,False,False,False,False,False,False,False
20240116,2024-01-16,16,Tuesday,2,3,1,January,Q1,2024,False,False,False,False,False,False,False
20240117,2024-01-17,17,Wednesday,3,3,1,January,Q1,2024,False,False,False,False,False,False,False
20240118,2024-01-18,18,Thursday,4,3,1,January,Q1,2024,False,False,False,False,False,False,False
20240119,2024-01-19,19,Friday,5,3,1,January,Q1,2024,False,False,False,False,False,False,False
20240120,2024-01-20,20,Saturday,6,3,1,January,Q1,2024,True,False,False,False,False,False,False
20240121,2024-01-21,21,Sunday,7,3,1,January,Q1,2024,True,False,False,False,False,False,False
20240122,2024-01-22,22,Monday,1,4,1,January,Q1,2024,False,False,False,False,False,False,False
20240123,2024-01-23,23,Tuesday,2,4,1,January,Q1,2024,False,False,False,False,False,False,False
20240124,2024-01-24,24,Wednesday,3,4,1,January,Q1,2024,False,False,False,False,False,False,False
20240125,2024-01-25,25,Thursday,4,4,1,January,Q1,2024,False,False,False,False,False,False,False
20240126,2024-01-26,26,Friday,5,4,1,January,Q1,2024,False,False,False,False,False,False,False
