date,currency,exchange_rate_to_inr
2024-01-01,INR,1.0
2024-01-01,USD,84.5577
2024-01-01,EUR,88.1751
2024-01-01,GBP,104.2002
2024-01-02,INR,1.0
2024-01-02,USD,82.8928
2024-01-02,EUR,93.1553
2024-01-02,GBP,107.4136
2024-01-03,INR,1.0
2024-01-03,USD,85.5687
2024-01-03,EUR,88.6086
2024-01-03,GBP,105.3754
2024-01-04,INR,1.0
2024-01-04,USD,82.1192
2024-01-04,EUR,89.5305
2024-01-04,GBP,106.0428
2024-01-05,INR,1.0
2024-01-05,USD,82.1061
2024-01-05,EUR,89.3919
2024-01-05,GBP,107.1991
2024-01-06,INR,1.0
2024-01-06,USD,84.1798
2024-01-06,EUR,89.5431
2024-01-06,GBP,106.7141
2024-01-07,INR,1.0
2024-01-07,USD,85.2377
2024-01-07,EUR,88.0455
2024-01-07,GBP,108.4466
2024-01-08,INR,1.0
2024-01-08,USD,84.7926
2024-01-08,EUR,90.3818
2024-01-08,GBP,103.2438
2024-01-09,INR,1.0
2024-01-09,USD,85.8289
2024-01-09,EUR,90.3562
2024-01-09,GBP,102.742
2024-01-10,INR,1.0
2024-01-10,USD,82.3869
2024-01-10,EUR,93.9325
2024-01-10,GBP,106.8298
2024-01-11,INR,1.0
2024-01-11,USD,85.2285
2024-01-11,EUR,93.1081
2024-01-11,GBP,106.2898
2024-01-12,INR,1.0
2024-01-12,USD,85.8925
2024-01-12,EUR,90.6497
2024-01-12,GBP,106.4163
2024-01-13,INR,1.0
2024-01-13,USD,85.3176
2024-01-13,EUR,92.3296
2024-01-13,GBP,108.8937
2024-01-14,INR,1.0
2024-01-14,USD,84.3094
2024-01-14,EUR,92.932
2024-01-14,GBP,102.3666
2024-01-15,INR,1.0
2024-01-15,USD,82.9116
2024-01-15,EUR,90.0257
2024-01-15,GBP,102.6383
2024-01-16,INR,1.0
2024-01-16,USD,82.9312
2024-01-16,EUR,88.707
2024-01-16,GBP,104.2238
2024-01-17,INR,1.0
2024-01-17,USD,84.5427
2024-01-17,EUR,90.5538
2024-01-17,GBP,104.9614
2024-01-18,INR,1.0
2024-01-18,USD,82.838
2024-01-18,EUR,89.8688
2024-01-18,GBP,109.4932
2024-01-19,INR,1.0
2024-01-19,USD,84.5921
2024-01-19,EUR,92.2639
2024-01-19,GBP,103.3691
2024-01-20,INR,1.0
2024-01-20,USD,84.9165
2024-01-20,EUR,89.1438
2024-01-20,GBP,105.0356
2024-01-21,INR,1.0
2024-01-21,USD,85.9581
2024-01-21,EUR,92.48
2024-01-21,GBP,106.4556
2024-01-22,INR,1.0
2024-01-22,USD,84.7385
2024-01-22,EUR,93.9
2024-01-22,GBP,108.208
2024-01-23,INR,1.0
2024-01-23,USD,82.9162
2024-01-23,EUR,88.2247
2024-01-23,GBP,104.5236
2024-01-24,INR,1.0
2024-01-24,USD,83.071
2024-01-24,EUR,89.4769
2024-01-24,GBP,109.5433
2024-01-25,INR,1.0
2024-01-25,USD,85.5055
2024-01-25,EUR,90.2027
2024-01-25,GBP,107.2435
2024-01-26,INR,1.0
2024-01-26,USD,83.5825
2024-01-26,EUR,94.4018
2024-01-26,GBP,105.6708
2024-01-27,INR,1.0
2024-01-27,USD,83.0595
2024-01-27,EUR,89.7264
2024-01-27,GBP,106.4909
2024-01-28,INR,1.0
2024-01-28,USD,83.051
2024-01-28,EUR,92.0921
2024-01-28,GBP,109.1826
2024-01-29,INR,1.0
