loan_id,customer_id,account_id,loan_type,loan_amount,interest_rate,tenure_months,emi,outstanding_balance,disbursement_date,maturity_date,loan_status
LN000697,CUST000401,ACC000697,Home,2200086.04,8.5,84,34841.63,1224520.4,2021-05-16,2028-05-16,Active
LN000668,CUST000127,ACC000668,Home,7413595.9,8.5,180,73004.61,0.0,2020-06-27,2035-06-27,Active
LN000064,CUST000393,ACC000064,Home,2749561.92,8.5,60,56411.47,605926.06,2022-10-31,2027-10-31,Active
LN000534,CUST000435,ACC000534,Personal,744417.65,12.0,240,8196.68,0.0,2023-01-21,2043-01-21,Active
LN000067,CUST000395,ACC000067,Business,1751858.19,11.5,36,57769.29,1174165.29,2024-04-03,2027-04-03,Active
LN000622,CUST000314,ACC000622,Auto,844594.15,9.0,60,17532.39,476413.96,2024-04-12,2029-04-12,Active
LN000347,CUST000397,ACC000347,Education,561134.22,8.0,84,8745.96,272517.54,2023-05-21,2030-05-21,Active
LN000491,CUST000256,ACC000491,Education,1747815.85,8.0,120,21205.83,263407.75,2020-06-10,2030-06-10,Active
LN000761,CUST000009,ACC000761,Business,4484532.87,11.5,84,77970.16,2613249.03,2023-03-28,2030-03-28,Active
LN000457,CUST000495,ACC000457,Home,7290106.55,8.5,84,115449.67,3942066.12,2020-06-12,2027-06-12,Active
LN000066,CUST000033,ACC000066,Education,1050528.73,8.0,240,8787.04,233334.01,2024-09-04,2044-09-04,Active
LN000287,CUST000161,ACC000287,Auto,735211.25,9.0,84,11828.87,0.0,2023-12-08,2030-12-08,Active
LN000636,CUST000416,ACC000636,Personal,580725.89,12.0,60,12917.93,206105.92,2020-11-30,2025-11-30,Active
LN000068,CUST000437,ACC000068,Business,1488268.28,11.5,84,25875.72,1307138.24,2024-09-22,2031-09-22,Active
LN000328,CUST000378,ACC000328,Home,8440366.41,8.5,120,104648.46,7603178.73,2021-07-02,2031-07-02,Active
LN000396,CUST000249,ACC000396,Business,4443654.32,11.5,84,77259.42,0.0,2021-03-11,2028-03-11,Active
LN000245,CUST000153,ACC000245,Education,685753.29,8.0,60,13904.6,32237.09,2021-05-20,2026-05-20,Active
LN000378,CUST000238,ACC000378,Auto,1595222.1,9.0,120,20207.6,564634.5,2023-04-10,2033-04-10,Active
LN000611,CUST000493,ACC000611,Personal,558573.66,12.0,36,18552.64,502915.74,2024-03-27,2027-03-27,Active
LN000527,CUST000300,ACC000527,Personal,664701.44,12.0,240,7318.94,0.0,2022-05-14,2042-05-14,Active
LN000659,CUST000466,ACC000659,Education,1908898.76,8.0,120,23160.21,1167772.04,2022-12-19,2032-12-19,Defaulted
