transaction_id,reference_number,account_id,transaction_timestamp,transaction_type,transaction_category,merchant_id,amount,currency,channel,balance_after_transaction,status,remarks
TXN000000001,9E0860A978694A47,ACC000489,2024-01-01 00:55:00,Debit,Mobile Banking,,13708.38,INR,Mobile Banking,222490.29,SUCCESS,Online Banking
TXN000000002,A0EB44BC48964585,ACC000170,2024-01-01 01:27:00,Debit,IMPS,,17221.8,INR,IMPS,248676.49,SUCCESS,IMPS Transfer
TXN000000003,B8C14AA9E0DE406B,ACC000253,2024-01-01 01:29:00,Debit,NEFT,,18907.31,USD,NEFT,430940.46,SUCCESS,NEFT Transfer
TXN000000004,A000C09752714E62,ACC000366,2024-01-01 01:36:00,Debit,Credit Card,MER0053,6106.28,INR,Credit Card,311171.59,SUCCESS,Card Payment
TXN000000005,061519D63411439D,ACC000396,2024-01-01 01:38:00,Debit,UPI,MER0046,18294.33,INR,UPI,219948.71,SUCCESS,UPI Payment
TXN000000006,FD2C853B6A8D4AA9,ACC000533,2024-01-01 01:54:00,Debit,Cash,,7741.31,INR,Cash,42792.11,SUCCESS,Cash Deposit
TXN000000007,E9B76D04CA594A27,ACC000711,2024-01-01 02:02:00,Debit,Debit Card,MER0080,4560.91,INR,Debit Card,136545.89,SUCCESS,POS Purchase
TXN000000008,E6BED0B2B8FA4522,ACC000190,2024-01-01 02:04:00,Credit,Cash,,15595.32,INR,Cash,171303.55,SUCCESS,Cash Deposit
TXN000000009,E7D306BA143848C4,ACC000624,2024-01-01 02:44:00,Credit,Credit Card,MER0064,18009.29,INR,Credit Card,332748.38,SUCCESS,Card Payment
TXN000000010,0D900AE0D3E84719,ACC000352,2024-01-01 02:56:00,Debit,ATM,,17166.32,INR,ATM,417403.06,SUCCESS,ATM Withdrawal
TXN000000011,B11D4FD7C98B4A0A,ACC000173,2024-01-01 02:57:00,Debit,Credit Card,MER0003,13466.08,INR,Credit Card,604330.84,SUCCESS,Card Payment
TXN000000012,29268AF8208F4CB7,ACC000468,2024-01-01 02:57:00,Debit,UPI,MER0014,764.85,INR,UPI,143622.75,SUCCESS,UPI Payment
TXN000000013,57E5BA01EFFC4A32,ACC000265,2024-01-01 03:02:00,Debit,Mobile Banking,,3881.83,INR,Mobile Banking,11944.66,SUCCESS,Online Banking
TXN000000014,7EA4E63FAA074589,ACC000663,2024-01-01 03:12:00,Credit,ATM,,523.51,INR,ATM,191598.27,SUCCESS,ATM Withdrawal
TXN000000015,0F59DA7BFFDC4CC7,ACC000539,2024-01-01 03:13:00,Credit,NEFT,,18069.96,INR,NEFT,86770.04,SUCCESS,NEFT Transfer
TXN000000016,63B4BAFC986B4C31,ACC000708,2024-01-01 03:18:00,Debit,UPI,MER0016,2248.74,INR,UPI,123199.08,SUCCESS,UPI Payment
TXN000000017,86636EA2D6314A3B,ACC000193,2024-01-01 03:23:00,Debit,Credit Card,MER0073,7854.22,INR,Credit Card,143689.84,SUCCESS,Card Payment
TXN000000018,B78A4B4EDB684693,ACC000763,2024-01-01 03:27:00,Credit,Credit Card,MER0029,4678.3,INR,Credit Card,265747.09,SUCCESS,Card Payment
TXN000000019,8E57F9B6C49C445A,ACC000244,2024-01-01 03:29:00,Debit,Credit Card,MER0023,10306.66,INR,Credit Card,458227.76,SUCCESS,Card Payment
TXN000000020,1FB9CAAB6A2F4DD3,ACC000013,2024-01-01 03:34:00,Debit,Mobile Banking,,7049.92,INR,Mobile Banking,430257.4,SUCCESS,Online Banking
TXN000000021,E1938A18CD484981,ACC000385,2024-01-01 04:07:00,Debit,Cash,,9585.42,INR,Cash,158082.82,SUCCESS,Cash Deposit
TXN000000022,4EBA9740795340CF,ACC000084,2024-01-01 04:09:00,Debit,Credit Card,MER0063,9669.83,INR,Credit Card,231255.39,SUCCESS,Card Payment
TXN000000023,167CE728125349CB,ACC000791,2024-01-01 04:12:00,Debit,ATM,,10015.65,INR,ATM,197725.27,SUCCESS,ATM Withdrawal
TXN000000024,2FE0CD4CEF7F4465,ACC000499,2024-01-01 04:30:00,Credit,UPI,MER0074,7834.87,INR,UPI,311549.98,SUCCESS,UPI Payment
TXN000000025,647C61D3ABD04045,ACC000203,2024-01-01 04:31:00,Credit,IMPS,,11913.54,INR,IMPS,398278.24,SUCCESS,IMPS Transfer
TXN000000026,BE7226758F9045AC,ACC000083,2024-01-01 04:34:00,Debit,UPI,MER0041,12548.44,INR,UPI,439193.58,SUCCESS,UPI Payment
TXN000000027,CDA9AEE7A47E46B4,ACC000167,2024-01-01 04:38:00,Debit,Debit Card,MER0054,16962.17,INR,Debit Card,177460.36,SUCCESS,POS Purchase
TXN000000028,D6FF7F1C456845F8,ACC000197,2024-01-01 04:43:00,Debit,IMPS,,2189.87,INR,IMPS,273996.69,SUCCESS,IMPS Transfer
TXN000000029,A885B6E499B84574,ACC000323,2024-01-01 04:51:00,Debit,NEFT,,5280.5,INR,NEFT,81079.01,SUCCESS,NEFT Transfer
TXN000000030,A621D42084DD4171,ACC000042,2024-01-01 05:02:00,Debit,Cash,,11065.6,INR,Cash,9895.82,SUCCESS,Cash Deposit
TXN000000031,E3A89259CA0640FB,ACC000322,2024-01-01 05:34:00,Debit,NEFT,,10972.54,INR,NEFT,310270.38,SUCCESS,NEFT Transfer
TXN000000032,40C8B9BF0A67473F,ACC000637,2024-01-01 05:39:00,Debit,IMPS,,6347.29,INR,IMPS,619146.52,SUCCESS,IMPS Transfer
TXN000000033,9DEC511C83124597,ACC000326,2024-01-01 05:46:00,Debit,Debit Card,MER0073,18478.12,INR,Debit Card,335594.77,SUCCESS,POS Purchase
TXN000000034,DBBF4913818040F1,ACC000048,2024-01-01 05:50:00,Debit,Credit Card,MER0067,18043.32,INR,Credit Card,197484.92,SUCCESS,Card Payment
TXN000000035,57180B1F56874ED2,ACC000305,2024-01-01 05:59:00,Debit,Cash,,10956.9,INR,Cash,490176.62,SUCCESS,Cash Deposit
TXN000000036,80CBF935A21A4B28,ACC000018,2024-01-01 06:20:00,Debit,Mobile Banking,,10351.04,INR,Mobile Banking,613909.98,SUCCESS,Online Banking
TXN000000037,AA8D5508AE1F4885,ACC000399,2024-01-01 06:25:00,Debit,UPI,MER0001,15524.13,INR,UPI,352310.7,SUCCESS,UPI Payment
TXN000000038,BEE07DB521894B8E,ACC000570,2024-01-01 06:37:00,Credit,Debit Card,MER0072,4980.41,INR,Debit Card,483593.85,SUCCESS,POS Purchase
TXN000000039,A1A03F82AD0C4235,ACC000475,2024-01-01 07:14:00,Debit,NEFT,,3220.81,INR,NEFT,520668.93,SUCCESS,NEFT Transfer
TXN000000040,383561473BD044D9,ACC000557,2024-01-01 08:05:00,Debit,Mobile Banking,,13358.68,INR,Mobile Banking,424601.18,SUCCESS,Online Banking
TXN000000041,DB1346A973F242D1,ACC000278,2024-01-01 08:12:00,Debit,UPI,MER0007,5480.17,INR,UPI,5734.55,SUCCESS,UPI Payment
TXN000000042,D049C50671584C4E,ACC000416,2024-01-01 08:28:00,Debit,ATM,,12868.91,INR,ATM,491207.79,FAILED,ATM Withdrawal
TXN000000043,76120087D73C496F,ACC000352,2024-01-01 08:42:00,Debit,ATM,,8909.07,INR,ATM,311533.14,SUCCESS,ATM Withdrawal
TXN000000044,A8D751FBB9384F92,ACC000041,2024-01-01 08:48:00,Credit,UPI,MER0042,1877.24,INR,UPI,650662.95,SUCCESS,UPI Payment
TXN000000045,AA1293D560914490,ACC000582,2024-01-01 08:54:00,Debit,UPI,MER0078,16905.97,INR,UPI,412472.24,SUCCESS,UPI Payment
TXN000000046,F69D7ABAE1194037,ACC000140,2024-01-01 08:58:00,Debit,NEFT,,11594.88,USD,NEFT,245801.43,SUCCESS,NEFT Transfer
TXN000000047,29BD38869AE54CA6,ACC000419,2024-01-01 09:11:00,Debit,Credit Card,MER0001,14424.06,INR,Credit Card,118520.74,SUCCESS,Card Payment
TXN000000048,CEB60C240AE04EA9,ACC000510,2024-01-01 09:16:00,Debit,Cash,,15844.49,INR,Cash,581660.0,SUCCESS,Cash Deposit
TXN000000049,74756A5D7A3B4E77,ACC000376,2024-01-01 09:24:00,Debit,Mobile Banking,,9744.42,INR,Mobile Banking,610794.21,SUCCESS,Online Banking
TXN000000050,5209E17DC9EA48DC,ACC000167,2024-01-01 09:35:00,Debit,ATM,,6876.04,INR,ATM,100924.34,SUCCESS,ATM Withdrawal
TXN000000051,E5218B4DFCED474A,ACC000340,2024-01-01 10:04:00,Debit,Debit Card,MER0031,19912.54,INR,Debit Card,620528.9,SUCCESS,POS Purchase
TXN000000052,64833FE1432B4A77,ACC000035,2024-01-01 10:46:00,Debit,Cash,,10006.85,INR,Cash,290521.11,SUCCESS,Cash Deposit
TXN000000053,1AADF58F403244DD,ACC000345,2024-01-01 10:47:00,Credit,UPI,MER0022,5978.02,INR,UPI,71351.79,SUCCESS,UPI Payment
TXN000000054,5DFFD61C41AE4CED,ACC000184,2024-01-01 10:53:00,Debit,IMPS,,11405.36,INR,IMPS,471018.95,SUCCESS,IMPS Transfer
TXN000000055,FACF669697A94D7A,ACC000384,2024-01-01 11:03:00,Debit,ATM,,3103.24,INR,ATM,227305.16,SUCCESS,ATM Withdrawal
TXN000000056,93F6D0D82767483C,ACC000647,2024-01-01 11:12:00,Debit,Debit Card,MER0001,13222.05,INR,Debit Card,241229.27,SUCCESS,POS Purchase
TXN000000057,333A2431E68C41F1,ACC000024,2024-01-01 11:21:00,Debit,Debit Card,MER0021,3745.69,INR,Debit Card,257013.45,SUCCESS,POS Purchase
TXN000000058,A681AD876F7441D5,ACC000163,2024-01-01 11:26:00,Debit,UPI,MER0083,13647.18,INR,UPI,370415.12,SUCCESS,UPI Payment
TXN000000059,4321FC51C3224506,ACC000614,2024-01-01 11:33:00,Debit,IMPS,,10620.98,INR,IMPS,110317.75,SUCCESS,IMPS Transfer
TXN000000060,E44DBEB2165144B5,ACC000481,2024-01-01 11:34:00,Debit,Debit Card,MER0003,5601.23,INR,Debit Card,271708.96,SUCCESS,POS Purchase
TXN000000061,C2746F3847664AFA,ACC000096,2024-01-01 11:43:00,Debit,IMPS,,5247.84,INR,IMPS,19381.61,SUCCESS,IMPS Transfer
TXN000000062,552EC56E4AA143FC,ACC000512,2024-01-01 11:48:00,Debit,Credit Card,MER0022,18339.7,INR,Credit Card,308089.76,SUCCESS,Card Payment
TXN000000063,18E02CFA602D4EC0,ACC000629,2024-01-01 11:48:00,Debit,NEFT,,18777.36,INR,NEFT,418838.36,SUCCESS,NEFT Transfer
TXN000000064,AC49D9F81A674AEE,ACC000516,2024-01-01 12:05:00,Debit,Debit Card,MER0054,7666.13,INR,Debit Card,5048.05,SUCCESS,POS Purchase
TXN000000065,CCC3F0E0410849F0,ACC000432,2024-01-01 12:22:00,Debit,ATM,,8417.9,INR,ATM,20129.64,SUCCESS,ATM Withdrawal
